"","p","replicate","edge_density","mean_distance","mean_nearest_distance","num_patches","mean_patch_area"
"197",0.1,97,3218,50.0814978514919,1.35936594816725,394,3.96446700507614
"198",0.1,98,3105,50.2733581093347,1.34532211931568,388,3.53865979381443
"199",0.1,99,3223,51.2796304031388,1.38094448668763,395,3.73670886075949
"200",0.1,100,3270,51.1973685602715,1.31641035127798,406,3.81527093596059
"201",0.2,1,2403,48.8838252310092,1.86283199597534,208,6.71634615384615
"202",0.2,2,2566,49.5394292973212,1.56654103648242,220,7.33636363636364
"203",0.2,3,2604,52.0359535157214,1.54578984921498,232,6.7801724137931
"204",0.2,4,2420,49.6315373000722,1.73145586437409,230,5.85217391304348
"205",0.2,5,2520,50.1465868382716,1.69357228073747,242,5.88429752066116
"206",0.2,6,2365,49.4611066384561,1.79469900488534,226,6.01769911504425
"207",0.2,7,2543,49.2915338109486,1.50860989636512,218,6.90366972477064
"208",0.2,8,2320,50.1988596269664,1.75543679988167,218,6.03211009174312
"209",0.2,9,2623,50.5183620948933,1.61570159725817,239,6.44351464435146
"210",0.2,10,2479,50.0895056054746,1.73598316259563,203,7.49753694581281
"211",0.2,11,2424,49.7552026914007,1.71642717547162,213,6.99530516431925
"212",0.2,12,2350,50.4855208293942,1.79799537140112,208,6.87980769230769
"213",0.2,13,2280,50.1126584290971,1.78874004028625,229,5.7292576419214
"214",0.2,14,2621,49.5151327978024,1.70964677268172,237,6.38396624472574
"215",0.2,15,2489,49.6485628075747,1.75999791368788,222,6.66666666666667
"216",0.2,16,2375,48.5608646626597,1.78482133841625,216,6.49074074074074
"217",0.2,17,2415,48.2264858836678,1.71161918291367,231,5.96536796536797
"218",0.2,18,2629,48.726228378679,1.6477869969319,223,7.14798206278027
"219",0.2,19,2480,48.7640839086731,1.68252039989096,230,6.62608695652174
"220",0.2,20,2371,50.136724098804,1.75291469324423,233,5.75107296137339
"221",0.2,21,2543,48.6772850491537,1.72377803553415,212,7.52358490566038
"222",0.2,22,2502,51.2085987302394,1.70447504137251,238,5.80252100840336
"223",0.2,23,2429,49.1115115330781,1.66221362772365,245,5.17959183673469
"224",0.2,24,2468,50.2288547490641,1.7418968062628,227,6.50660792951542
"225",0.2,25,2360,51.9727433931296,1.792825878145,195,7.46666666666667
"226",0.2,26,2539,50.3388496493042,1.67107957127666,222,6.64414414414414
"227",0.2,27,2675,49.8585038146594,1.66707443110828,224,7.13392857142857
"228",0.2,28,2463,49.5650694473322,1.74126049910249,228,6.48684210526316
"229",0.2,29,2494,50.2326296914906,1.71965699718863,222,6.56756756756757
"230",0.2,30,2371,50.5908916578629,1.88752257369744,234,5.73504273504274
"231",0.2,31,2503,49.9206516876161,1.67885085178834,235,6.3531914893617
"232",0.2,32,2566,49.5657527334964,1.68019098907641,225,6.75111111111111
"233",0.2,33,2346,51.1799148811544,1.68276399283328,213,6.76056338028169
"234",0.2,34,2474,50.0994186534502,1.82507511666131,242,5.77272727272727
"235",0.2,35,2384,49.5859682709287,1.75411140374846,213,6.5962441314554
"236",0.2,36,2509,50.6177799292002,1.73657447684472,235,6.0468085106383
"237",0.2,37,2541,49.3482118834204,1.7459711366153,227,6.45374449339207
"238",0.2,38,2468,47.3692528364645,1.71120698170795,209,7.38277511961723
"239",0.2,39,2714,50.4829814418137,1.49922469982472,242,6.65702479338843
"240",0.2,40,2394,51.1314675271306,1.84341356368117,228,5.87719298245614
"241",0.2,41,2216,51.4788312850987,1.93954313471733,205,6.36585365853659
"242",0.2,42,2393,50.8653312145783,1.87365028313343,229,5.89519650655022
"243",0.2,43,2487,50.8853422443475,1.7114737989021,237,5.82278481012658
"244",0.2,44,2527,49.1507230459094,1.7570314812044,218,6.9954128440367
"245",0.2,45,2394,51.0512908191638,1.80993959721212,198,7.80808080808081
"246",0.2,46,2633,49.5479897200712,1.70741727112923,219,7.43835616438356
"247",0.2,47,2313,50.3424033428057,1.77920821350969,225,5.96
"248",0.2,48,2283,50.2572231934027,1.82513581082503,205,6.62439024390244
"249",0.2,49,2499,49.7100414440931,1.56362196949821,237,6.37974683544304
"250",0.2,50,2614,50.8320464017469,1.64187688572905,247,6.10121457489879
"251",0.2,51,2625,50.8347819985658,1.60583040976095,220,6.87272727272727
"252",0.2,52,2475,50.6054041400711,1.64743300191444,235,6.46808510638298
"253",0.2,53,2872,49.2586053464072,1.59841194795447,225,7.91111111111111
"254",0.2,54,2467,50.5364890797094,1.7357504744958,211,7.03791469194313
"255",0.2,55,2446,50.3349295473038,1.5624758520279,224,6.38839285714286
"256",0.2,56,2479,48.4346977813259,1.62341694588205,220,6.66818181818182
"257",0.2,57,2277,50.4773499835309,1.79262011293311,216,6.0787037037037
"258",0.2,58,2354,50.6576049308492,1.78438000140775,215,6.33023255813954
"259",0.2,59,2460,49.0103873257489,1.73944454724637,219,7.23287671232877
"260",0.2,60,2207,48.973626604985,1.69164699347701,214,5.92523364485981
"261",0.2,61,2456,50.4877720355768,1.76202042467432,213,7.03286384976526
"262",0.2,62,2619,50.0183605536312,1.65171841816642,242,6.13223140495868
"263",0.2,63,2295,49.3461394302615,1.71374363426565,222,6.09459459459459
"264",0.2,64,2496,49.9717142756257,1.8228814147091,225,6.63111111111111
"265",0.2,65,2426,51.7923757310738,1.80561628683182,232,6.30603448275862
"266",0.2,66,2708,52.5195490493334,1.63321156413564,230,7.02173913043478
"267",0.2,67,2604,51.7283756285366,1.74801274479227,222,6.94144144144144
"268",0.2,68,2487,50.7167803805323,1.71867027031631,225,6.64444444444444
"269",0.2,69,2514,48.0016696038573,1.77927006936279,215,7.37209302325581
"270",0.2,70,2388,50.2094124700713,1.85909015004086,226,5.80973451327434
"271",0.2,71,2446,48.7484782521452,1.74643914176633,218,6.98623853211009
"272",0.2,72,2322,49.9166068020477,1.70378705325544,217,6.33640552995392
"273",0.2,73,2456,48.1907819055841,1.83133572207843,214,6.82710280373832
"274",0.2,74,2686,50.0732260256092,1.58215085492525,230,7.22173913043478
"275",0.2,75,2551,50.3719432560239,1.80007376179604,213,7.31455399061033
"276",0.2,76,2477,50.2583810390279,1.72266572093492,221,6.42533936651584
"277",0.2,77,2536,50.6992267637256,1.77287542549905,218,7.22477064220184
"278",0.2,78,2484,49.758710937719,1.62634096432401,242,5.9297520661157
"279",0.2,79,2389,50.1328929357841,1.77791389551376,210,6.82857142857143
"280",0.2,80,2340,49.7456996689517,1.84416700826277,211,6.41232227488152
"281",0.2,81,2540,50.5853781988233,1.60663341852851,233,6.59227467811159
"282",0.2,82,2458,50.6810839803565,1.66007450411839,224,6.26785714285714
"283",0.2,83,2551,50.2179692100556,1.85278319724803,220,6.85
"284",0.2,84,2432,49.1483546767111,1.72151116181269,212,6.67452830188679
"285",0.2,85,2531,49.9334126949284,1.68320492303591,212,7.11320754716981
"286",0.2,86,2562,49.7138526349482,1.68655205304347,237,6.20253164556962
"287",0.2,87,2360,47.6248369563682,1.75649118207226,219,6.44748858447489
"288",0.2,88,2418,49.6003487726239,1.77328543892449,235,5.82553191489362
"289",0.2,89,2427,49.5612391943537,1.71703618217163,220,6.44090909090909
"290",0.2,90,2521,50.0138902347131,1.75914679915943,222,6.98648648648649
"291",0.2,91,2424,50.8357115897173,1.81062903506219,213,6.53051643192488
"292",0.2,92,2201,49.5793595439546,1.95534291460782,216,5.81944444444444
"293",0.2,93,2556,50.6050418123682,1.66214778415456,234,6.32905982905983
"294",0.2,94,2469,49.4467580089415,1.7613307075816,217,6.72350230414747
"295",0.2,95,2492,50.7682966746065,1.76632095712136,221,6.56108597285068
"296",0.2,96,2495,51.4304248264527,1.66521040046993,233,6.21888412017167
"297",0.2,97,2412,50.5017494524234,1.81648173386067,221,6.63800904977376
"298",0.2,98,2191,51.666158514478,1.86712865187986,210,6.08095238095238
"299",0.2,99,2678,49.3089618366666,1.6521340935659,236,6.83474576271186
"300",0.2,100,2387,49.9740115419535,1.66700427656272,234,5.84188034188034
"301",0.4,1,1590,47.8092297835299,2.68328130852851,104,13.3173076923077
"302",0.4,2,1702,48.3056320229101,2.85958287662545,100,15.31
"303",0.4,3,1916,50.5720557380267,2.48807369497569,108,16.8518518518519
"304",0.4,4,1858,49.7056778470237,2.57847012063988,111,14.4954954954955
"305",0.4,5,1890,50.3717582471691,2.36844867009847,111,14.8738738738739
"306",0.4,6,1966,48.4262377606629,2.42167748578645,118,14.0338983050847
"307",0.4,7,1824,46.3083226748372,2.60643120049785,118,12.6186440677966
"308",0.4,8,1677,50.6002695119537,2.8139944662955,114,11.6140350877193
"309",0.4,9,1732,47.6242214745649,2.76455210377204,97,16.1340206185567
"310",0.4,10,1649,47.6431285075181,2.63217918902114,109,12.9357798165138
"311",0.4,11,1743,47.0862749863463,2.47196390862196,109,13.9449541284404
"312",0.4,12,1407,49.5593718633618,3.299124859417,103,11.1456310679612
"313",0.4,13,1688,50.6288222234805,2.85438753796778,112,12.5982142857143
"314",0.4,14,1752,50.8066202154584,2.37911510948367,106,14.6509433962264
"315",0.4,15,1803,49.0290347366067,2.54432105531566,103,16.495145631068
